departamento,dep,prov,dist,ubigeo,poblacion_confiable,t_min_ponderado,n_puntos_confiables,poblacion_no_confiable,poblacion_sin_ruta,poblacion_total,pct_poblacion_sin_dato_confiable
LORETO,Loreto,Datem del Marañon,Manseriche,160703,8661.0,692.0285182619405,7.0,916.0,0.0,9577.0,0.09564581810587867
CUSCO,Cusco,Quispicanchi,Camanti,081203,285.0,340.87509941520466,25.0,2458.0,0.0,2743.0,0.8960991615020051
LORETO,Loreto,Ucayali,Pampa Hermosa,160604,1004.0,294.7095816733068,14.0,4782.0,0.0,5786.0,0.826477704804701
CUSCO,Cusco,Quispicanchi,Marcapata,081209,5024.0,218.71654226380045,159.0,14.0,0.0,5038.0,0.00277888050813815
CUSCO,Cusco,La Convencion,Inkawasi,080911,5291.0,217.1193340893341,43.0,0.0,0.0,5291.0,0.0
CUSCO,Cusco,Paucartambo,Kosñipata,081106,4805.0,198.17195456122096,33.0,150.0,0.0,4955.0,0.030272452068617558
PIURA,Piura,Huancabamba,El Carmen de la Frontera,200303,11435.0,182.41212199387846,24.0,0.0,0.0,11435.0,0.0
PIURA,Piura,Huancabamba,Sondor,200307,7022.0,181.82837273331438,14.0,0.0,0.0,7022.0,0.0
PIURA,Piura,Huancabamba,Huarmaca,200304,36699.0,170.32498828305947,226.0,0.0,0.0,36699.0,0.0
PIURA,Piura,Huancabamba,Sondorillo,200308,11524.0,159.19645594700916,11.0,0.0,0.0,11524.0,0.0
PIURA,Piura,Huancabamba,Huancabamba,200301,29214.0,156.22290665434383,21.0,0.0,0.0,29214.0,0.0
PIURA,Piura,Ayabaca,Sicchez,200209,1419.0,155.43608996946207,14.0,0.0,0.0,1419.0,0.0
CUSCO,Cusco,Quispicanchi,Ccarhuayo,081204,3217.0,146.99985027458294,64.0,0.0,0.0,3217.0,0.0
CUSCO,Cusco,Paucartambo,Challabamba,081103,9324.0,146.11373337623337,133.0,0.0,0.0,9324.0,0.0
PIURA,Piura,Ayabaca,Ayabaca,200201,30661.0,140.1295033321375,180.0,0.0,0.0,30661.0,0.0
PIURA,Piura,Ayabaca,Jilili,200203,2574.0,136.65200142450144,15.0,0.0,0.0,2574.0,0.0
LORETO,Loreto,Alto Amazonas,Teniente Cesar Lopez Rojas,160211,351.0,134.27128205128204,4.0,5978.0,0.0,6329.0,0.9445410017380312
CUSCO,Cusco,Anta,Mollepata,080307,3633.0,134.21634461877235,90.0,0.0,0.0,3633.0,0.0
PIURA,Piura,Ayabaca,Lagunas,200204,5514.0,131.58747974851892,47.0,0.0,0.0,5514.0,0.0
CUSCO,Cusco,Paucartambo,Paucartambo,081101,13873.0,130.69345142843414,115.0,73.0,0.0,13946.0,0.005234475835364979
CUSCO,Cusco,Quispicanchi,Ocongate,081210,19792.0,129.71988092832123,132.0,7.0,0.0,19799.0,0.0003535532097580686
CUSCO,Cusco,Calca,Yanatile,080408,8955.0,128.80750027917364,118.0,61.0,0.0,9016.0,0.006765749778172138
CUSCO,Cusco,Paruro,Omacha,081006,5681.0,128.2953605585871,56.0,37.0,0.0,5718.0,0.006470793983910458
CUSCO,Cusco,Calca,Lares,080404,6167.0,127.67136398032538,63.0,0.0,0.0,6167.0,0.0
CUSCO,Cusco,La Convencion,Ocobamba,080905,5737.0,127.40880541514147,62.0,0.0,0.0,5737.0,0.0
CUSCO,Cusco,Espinar,Condoroma,080802,788.0,126.22794204737734,125.0,0.0,0.0,788.0,0.0
CUSCO,Cusco,La Convencion,Villa Virgen,080912,661.0,124.79432677760967,16.0,1862.0,0.0,2523.0,0.7380103051922314
LORETO,Loreto,Loreto,Nauta,160301,31524.0,122.86601457090894,6.0,3480.0,0.0,35004.0,0.09941720946177579
PIURA,Piura,Ayabaca,Montero,200205,6370.0,122.11295944531658,34.0,0.0,0.0,6370.0,0.0
PIURA,Piura,Ayabaca,Pacaipampa,200206,22778.0,116.98821970029562,82.0,0.0,0.0,22778.0,0.0
PIURA,Piura,Huancabamba,Lalaquiz,200305,3811.0,115.80954167759992,34.0,0.0,0.0,3811.0,0.0
CUSCO,Cusco,La Convencion,Vilcabamba,080909,9647.0,114.64823917625516,182.0,98.0,0.0,9745.0,0.010056439199589533
CUSCO,Cusco,Paruro,Ccapi,081003,2975.0,113.06738263305324,23.0,0.0,0.0,2975.0,0.0
PIURA,Piura,Ayabaca,Sapillica,200208,10946.0,111.83283147572934,50.0,0.0,0.0,10946.0,0.0
CUSCO,Cusco,Paruro,Accha,081002,2980.0,108.25945749440716,38.0,0.0,0.0,2980.0,0.0
CUSCO,Cusco,Anta,Limatambo,080306,7417.0,107.15196732731113,97.0,0.0,0.0,7417.0,0.0
CUSCO,Cusco,Chumbivilcas,Livitaca,080705,13176.0,104.7967023375835,154.0,0.0,0.0,13176.0,0.0
CUSCO,Cusco,Paruro,Pillpinto,081008,975.0,104.78931965811965,6.0,0.0,0.0,975.0,0.0
PIURA,Piura,Huancabamba,San Miguel de el Faique,200306,9567.0,102.43311330615657,25.0,0.0,0.0,9567.0,0.0
LORETO,Loreto,Maynas,Fernando Lores,160103,11.0,101.09333333333333,1.0,12137.0,0.0,12148.0,0.9990945011524531
PIURA,Piura,Huancabamba,Canchaque,200302,7083.0,100.42135229893172,52.0,0.0,0.0,7083.0,0.0
CUSCO,Cusco,Acomayo,Acos,080203,2314.0,97.06178478824548,31.0,0.0,0.0,2314.0,0.0
CUSCO,Cusco,Paruro,Colcha,081004,874.0,96.03690312738368,9.0,0.0,0.0,874.0,0.0
LORETO,Loreto,Alto Amazonas,Balsapuerto,160202,14648.0,93.167530379574,33.0,3328.0,0.0,17976.0,0.1851357365376057
CUSCO,Cusco,Acomayo,Acomayo,080201,4458.0,91.22216576940333,54.0,0.0,0.0,4458.0,0.0
PIURA,Piura,Ayabaca,Paimas,200207,10840.0,90.07648631611318,22.0,0.0,0.0,10840.0,0.0
PIURA,Piura,Ayabaca,Suyo,200210,12141.0,88.72944787634187,77.0,0.0,0.0,12141.0,0.0
CUSCO,Cusco,La Convencion,Villa Kintiarina,080913,2453.0,86.52716605517054,10.0,0.0,0.0,2453.0,0.0
CUSCO,Cusco,Urubamba,Ollantaytambo,081306,12050.0,85.51200912863071,93.0,143.0,0.0,12193.0,0.01172804067907816
CUSCO,Cusco,Canas,Quehue,080507,2540.0,82.8289245406824,46.0,0.0,0.0,2540.0,0.0
CUSCO,Cusco,Chumbivilcas,Capacmarca,080702,4025.0,82.47746997929609,63.0,0.0,0.0,4025.0,0.0
PIURA,Piura,Morropon,Chalaco,200403,6900.0,82.02084806763285,31.0,0.0,0.0,6900.0,0.0
PIURA,Piura,Ayabaca,Frias,200202,20812.0,80.93911221090397,100.0,0.0,0.0,20812.0,0.0
PIURA,Piura,Morropon,Yamango,200410,8186.0,80.93592128837854,48.0,0.0,0.0,8186.0,0.0
CUSCO,Cusco,Acomayo,Pomacanchi,080205,7461.0,77.51923021936291,55.0,0.0,0.0,7461.0,0.0
CUSCO,Cusco,La Convencion,Echarate,080902,16622.0,77.03175390045323,265.0,168.0,0.0,16790.0,0.010005955926146516
PIURA,Piura,Morropon,Santo Domingo,200409,5159.0,76.94374911158492,41.0,0.0,0.0,5159.0,0.0
CUSCO,Cusco,Anta,Chinchaypujio,080304,4227.0,76.05766264490182,91.0,0.0,0.0,4227.0,0.0
PIURA,Piura,Morropon,San Juan de Bigote,200407,6587.0,73.01937098324984,28.0,0.0,0.0,6587.0,0.0
CUSCO,Cusco,Calca,Calca,080401,24173.0,72.40849156772708,71.0,110.0,0.0,24283.0,0.004529918049664374
CUSCO,Cusco,Acomayo,Sangarara,080207,3335.0,72.36793253373312,12.0,0.0,0.0,3335.0,0.0
CUSCO,Cusco,Quispicanchi,Cusipata,081206,4616.0,72.28050404390525,32.0,0.0,0.0,4616.0,0.0
CUSCO,Cusco,Quispicanchi,Quiquijana,081212,12219.0,72.14607223722618,59.0,0.0,0.0,12219.0,0.0
CUSCO,Cusco,Chumbivilcas,Chamaca,080703,6255.0,70.47182467359445,124.0,0.0,0.0,6255.0,0.0
CUSCO,Cusco,Espinar,Ocoruro,080804,851.0,69.28655503329416,117.0,0.0,0.0,851.0,0.0
CUSCO,Cusco,Canas,Layo,080505,5408.0,68.94500400641026,64.0,16.0,0.0,5424.0,0.0029498525073746312
CUSCO,Cusco,Urubamba,Urubamba,081301,25828.0,67.75469903463942,17.0,0.0,0.0,25828.0,0.0
CUSCO,Cusco,Paucartambo,Colquepata,081104,8776.0,66.87820400334246,57.0,0.0,0.0,8776.0,0.0
PIURA,Piura,Talara,Mancora,200706,15242.0,66.83261754800331,3.0,0.0,0.0,15242.0,0.0
