departamento,dep,prov,poblacion_confiable,t_min_ponderado,n_puntos_confiables,poblacion_no_confiable,poblacion_sin_ruta,poblacion_total,pct_poblacion_sin_dato_confiable
LORETO,Loreto,Datem del Marañon,8661.0,692.0285182619405,7.0,32881.0,20653.0,62195.0,0.8607444328322212
LORETO,Loreto,Ucayali,1004.0,294.7095816733068,14.0,61960.0,0.0,62964.0,0.9840543802807954
PIURA,Piura,Huancabamba,116355.0,155.941097016315,407.0,0.0,0.0,116355.0,0.0
LORETO,Loreto,Loreto,31524.0,122.86601457090894,6.0,41079.0,2042.0,74645.0,0.5776810235112868
PIURA,Piura,Ayabaca,124055.0,112.84775029892656,621.0,0.0,0.0,124055.0,0.0
CUSCO,Cusco,Paucartambo,48096.0,108.16570078592814,377.0,223.0,0.0,48319.0,0.004615161737618742
CUSCO,Cusco,Paruro,25779.0,88.16067438612824,298.0,38.0,0.0,25817.0,0.0014718983615447186
CUSCO,Cusco,Acomayo,23372.0,76.43181834388727,205.0,0.0,0.0,23372.0,0.0
CUSCO,Cusco,Quispicanchi,105206.0,75.04512394730338,683.0,2479.0,0.0,107685.0,0.023020847843246504
CUSCO,Cusco,Calca,72282.0,71.21490313402138,365.0,171.0,0.0,72453.0,0.0023601507183967536
CUSCO,Cusco,Urubamba,68509.0,61.02777934286006,208.0,5598.0,0.0,74107.0,0.07553942272659803
CUSCO,Cusco,Canas,34121.0,60.68658905073122,416.0,16.0,0.0,34137.0,0.0004686996514046343
CUSCO,Cusco,Anta,65355.0,51.99698467345013,449.0,0.0,0.0,65355.0,0.0
CUSCO,Cusco,Chumbivilcas,69285.0,48.905730172476,1115.0,0.0,0.0,69285.0,0.0
CUSCO,Cusco,La Convencion,137960.0,48.57324607374119,1119.0,13324.0,0.0,151284.0,0.0880727638084662
PIURA,Piura,Sechura,102812.0,40.033404077345054,49.0,167.0,0.0,102979.0,0.0016216898590974858
PIURA,Piura,Morropon,177008.0,24.459356723989874,246.0,31.0,0.0,177039.0,0.00017510266099559984
CUSCO,Cusco,Espinar,62682.0,16.554185864097082,1159.0,0.0,0.0,62682.0,0.0
CUSCO,Cusco,Canchis,107776.0,16.475568107308987,619.0,197.0,0.0,107973.0,0.0018245302066257304
PIURA,Piura,Talara,162208.0,15.11985277133886,27.0,0.0,0.0,162208.0,0.0
LORETO,Loreto,Alto Amazonas,130452.0,13.402876128128865,91.0,33229.0,871.0,164552.0,0.20722932568428218
PIURA,Piura,Paita,165570.0,11.323022246381187,23.0,0.0,0.0,165570.0,0.0
PIURA,Piura,Piura,988348.0,10.8452492829786,117.0,118.0,0.0,988466.0,0.00011937689308484055
PIURA,Piura,Sullana,358547.0,5.9771269364035025,218.0,12.0,0.0,358559.0,3.3467295479962854e-05
LORETO,Loreto,Maynas,426792.0,3.881035168575481,67.0,146016.0,0.0,572808.0,0.25491264088490384
CUSCO,Cusco,Cusco,554027.0,2.4575649712619296,114.0,0.0,0.0,554027.0,0.0
LORETO,Loreto,Mariscal Ramon Castilla,0.0,,,57339.0,0.0,57339.0,1.0
LORETO,Loreto,Putumayo,0.0,,,8715.0,0.0,8715.0,1.0
LORETO,Loreto,Requena,0.0,,,62828.0,0.0,62828.0,1.0
