demand_id,departamento,dep,prov,dist,ubigeo,tipo_demanda,poblacion,facility_id,t_min,distance_m,straight_line_m,confiabilidad
D2001010004,PIURA,Piura,Piura,Piura,200101,disperso,114,F12918,22.333333333333332,14704.2,13438.290001096339,confiable
D2001010005,PIURA,Piura,Piura,Piura,200101,disperso,35,F10267,18.791666666666668,18037.5,14560.926687699963,confiable
D2001010009,PIURA,Piura,Piura,Piura,200101,disperso,99,F12918,25.18166666666667,16445.1,14276.356379227032,confiable
D2001010010,PIURA,Piura,Piura,Piura,200101,disperso,73,F10267,18.046666666666667,17728.0,14240.32173963177,confiable
D2001010011,PIURA,Piura,Piura,Piura,200101,disperso,90,F10267,13.203333333333335,15043.9,14032.921203606298,confiable
D2001010016,PIURA,Piura,Piura,Piura,200101,disperso,81,F12918,17.123333333333335,9433.5,8080.301045033935,confiable
D2001010025,PIURA,Piura,Piura,Piura,200101,disperso,16,F10267,16.935,18174.5,16609.207132481893,confiable
D2001010027,PIURA,Piura,Piura,Piura,200101,disperso,40,F2084,17.14333333333333,17380.5,12422.191484129175,confiable
D2001010028,PIURA,Piura,Piura,Piura,200101,disperso,67,F10267,12.851666666666667,14898.5,14178.668129845748,confiable
D2001010029,PIURA,Piura,Piura,Piura,200101,disperso,13,F10267,21.488333333333333,19108.7,15148.642325238603,confiable
D2001010031,PIURA,Piura,Piura,Piura,200101,disperso,18,F2084,20.873333333333335,19537.3,11511.601506941,confiable
D2001010039,PIURA,Piura,Piura,Piura,200101,disperso,16,F10267,14.961666666666668,16515.6,13160.928586333715,confiable
D2001010040,PIURA,Piura,Piura,Piura,200101,disperso,24,F12918,16.435,9119.7,7645.572453852658,confiable
D2001010042,PIURA,Piura,Piura,Piura,200101,disperso,6,F14092,5.265,2268.8,2070.230529480005,confiable
D2001010045,PIURA,Piura,Piura,Piura,200101,disperso,41,F2084,11.0,11969.3,9924.076355228093,confiable
D2001040004,PIURA,Piura,Piura,Castilla,200104,disperso,139,F15230,25.433333333333334,21635.3,19119.542637584473,confiable
D2001040010,PIURA,Piura,Piura,Castilla,200104,disperso,87,F12953,15.896666666666667,18621.8,18331.93842653766,confiable
D2001040011,PIURA,Piura,Piura,Castilla,200104,disperso,18,F12953,16.308333333333334,19268.4,18980.285803218892,confiable
D2001040018,PIURA,Piura,Piura,Castilla,200104,disperso,79,F12953,17.31,21011.5,20690.888066018706,confiable
D2001040024,PIURA,Piura,Piura,Castilla,200104,disperso,5,F12953,8.723333333333333,8496.4,8166.24703142044,confiable
D2001040026,PIURA,Piura,Piura,Castilla,200104,disperso,140,F12953,13.483333333333333,15117.8,14772.569016362664,confiable
D2001050011,PIURA,Piura,Piura,Catacaos,200105,disperso,5,F10723,17.42,11988.6,7338.727380000413,confiable
D2001050030,PIURA,Piura,Piura,Catacaos,200105,disperso,20,F2161,81.21499999999999,58309.4,50742.84416779721,no_confiable
D2001050032,PIURA,Piura,Piura,Catacaos,200105,disperso,87,F10723,50.71,53307.2,50833.62444075071,no_confiable
D2001050034,PIURA,Piura,Piura,Catacaos,200105,disperso,11,F2161,121.67666666666668,96312.7,64187.48430165053,no_confiable
D2001050037,PIURA,Piura,Piura,Catacaos,200105,disperso,4,F10723,7.681666666666667,7192.6,3454.0797724547447,confiable
D2001050042,PIURA,Piura,Piura,Catacaos,200105,disperso,5,F10723,4.4399999999999995,3945.2,3132.2064891232585,confiable
D2001050044,PIURA,Piura,Piura,Catacaos,200105,disperso,29,F10723,12.843333333333334,12345.9,8569.344951646224,confiable
D2001050047,PIURA,Piura,Piura,Catacaos,200105,disperso,63,F2161,87.90333333333334,61071.9,40714.75889400115,confiable
D2001070024,PIURA,Piura,Piura,Cura Mori,200107,disperso,119,F10723,21.666666666666668,22482.3,18771.814405081863,confiable
D2001070026,PIURA,Piura,Piura,Cura Mori,200107,disperso,14,F10723,15.321666666666665,14631.0,10572.490544357213,confiable
D2001070027,PIURA,Piura,Piura,Cura Mori,200107,disperso,67,F10723,17.565,16382.1,12466.678065743728,confiable
D2001070028,PIURA,Piura,Piura,Cura Mori,200107,disperso,68,F10723,18.39,16717.0,12944.164361515788,confiable
D2001080006,PIURA,Piura,Piura,El Tallan,200108,disperso,18,F10723,30.226666666666667,28360.4,19276.86513624651,confiable
D2001080007,PIURA,Piura,Piura,El Tallan,200108,disperso,1,F10723,23.841666666666665,24546.9,20681.320868697705,confiable
D2001080010,PIURA,Piura,Piura,El Tallan,200108,disperso,50,F10723,33.026666666666664,30896.3,22031.640148327886,confiable
D2001090025,PIURA,Piura,Piura,La Arena,200109,disperso,12,F10723,27.236666666666668,21765.2,15801.645299423864,confiable
D2001090027,PIURA,Piura,Piura,La Arena,200109,disperso,115,F10723,17.945,13760.6,9577.59004693221,confiable
D2001090029,PIURA,Piura,Piura,La Arena,200109,disperso,86,F10723,17.603333333333335,13756.8,12669.640471749448,confiable
D2001100017,PIURA,Piura,Piura,La Union,200110,disperso,15,F10723,24.363333333333333,19162.7,15718.359742680872,confiable
D2001100021,PIURA,Piura,Piura,La Union,200110,disperso,60,F10723,28.721666666666668,21699.8,17560.16702726772,confiable
D2001100022,PIURA,Piura,Piura,La Union,200110,disperso,25,F10723,30.043333333333333,26973.5,23059.094783717428,confiable
D2001100023,PIURA,Piura,Piura,La Union,200110,disperso,9,F10723,27.365000000000002,21823.0,17593.16102379474,confiable
D2001110002,PIURA,Piura,Piura,Las Lomas,200111,disperso,49,F16148,66.49166666666666,67481.6,53096.24959116623,confiable
D2001110003,PIURA,Piura,Piura,Las Lomas,200111,disperso,15,F10777,66.89666666666668,83978.6,58718.40926042316,confiable
D2001110004,PIURA,Piura,Piura,Las Lomas,200111,disperso,24,F10777,67.25833333333334,84217.2,59956.45455052137,confiable
