departamento,banda,poblacion,pct_poblacion
CUSCO,<=120,236872,0.16961881738293558
CUSCO,<=30,857893,0.6143182651436166
CUSCO,<=60,185739,0.1330036033042701
CUSCO,>120,93946,0.06727265957081152
CUSCO,no_confiable,22046,0.015786654598366198
LORETO,<=120,15117,0.014180438742793462
LORETO,<=30,537802,0.5044829209996566
LORETO,<=60,4151,0.0038938282212962667
LORETO,>120,41363,0.038800389476626715
LORETO,no_confiable,444047,0.4165364346379049
LORETO,sin_ruta,23566,0.022105987921721953
PIURA,<=120,151772,0.06913714319814179
PIURA,<=30,1582753,0.7209961047379524
PIURA,<=60,314538,0.14328241538134256
PIURA,>120,145840,0.06643492188293623
PIURA,no_confiable,328,0.00014941479962700963
